Incident Number,Reported Date,Reported Time,Location,Category,Subcategory,Incident Summary
2020-000036,1/6/2020,5:29:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the fourth floor.
2020-000038,1/6/2020,5:37:00 PM,CENTRE FOR FILM and THEATRE,"Theft, Under $5000",Private Property,Complainant reported the theft of a computer tablet from a secure locker.
2020-000037,1/6/2020,5:42:00 PM,STEDMAN LECTURE HALLS,Emergency Medical,Existing Medical Condition,Security and EMS responded to a report of a community member experiencing symptoms of an existing medical condition. EMS transported the individual to hospital for further medical care.
2020-000039,1/6/2020,7:22:00 PM,PARKING LOT 4 - FOUNDERS ROAD WEST RESERVED,Motor Vehicle Incident,Collision \No Injuries,A community member reported being involved in a motor vehicle collision several hours prior. No injuries were reported.
2020-000040,1/6/2020,7:48:00 PM,YORK LANES RETAIL,"Disturbance, Causing",Panhandling,Security responded to a report of an unknown male panhandling in the building. A description of the male was obtained.
2020-000041,1/7/2020,2:04:00 AM,VICTOR PHILLIP DAHDALEH BUILDING,Information,Health & Safety Concern,Security responded to check on the well- being of an unknown male. The male declined assistance and left the building.
2020-000045,1/7/2020,12:25:00 PM,ACCOLADE EAST,"Theft, Under $5000",Private Property,Complainant reported the theft of footwear left unattended in the third floor hallway.
2020-000046,1/7/2020,1:28:00 PM,SCOTT LIBRARY,"Disturbance, Causing",Common Nuisance,"Security responded to a report that an unknown female asked a community member for money and the use of their laptop computer. When declined, the unknown female attempted to take the complainants laptop computer and acted in a belligerent manner. A description of the suspect was obtained."
2020-000048,1/7/2020,1:33:00 PM,KEELE CAMPUS,Harassment,Criminal\ Stalking,"Security responded to assist a community member who reported ongoing harassment by another community member. The individual was identified, cautioned and directed to refrain from contacting the complainant."
2020-000049,1/7/2020,3:46:00 PM,SCOTT LIBRARY,Emergency Medical,Existing Medical Condition,Security and Toronto Police responded to a report of a non-community member in distress. Toronto Police transported the individual off campus.
2020-000051,1/7/2020,6:48:00 PM,GLENDON COLLEGE - PROCTOR FIELD HOUSE,"Theft, Under $5000",Private Property,Two non community members reported the theft of cash from their lockers that were left insecure and unattended.
2020-000052,1/7/2020,8:29:00 PM,FIRST STUDENT CENTRE,Fire Alarm,Malfunction,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a malfunction."
2020-000054,1/7/2020,8:54:00 PM,FIRST STUDENT CENTRE,Harassment,General,A community member reported being harassed by an unknown male while in the food court. A description of the male was obtained.
2020-000055,1/7/2020,11:30:00 PM,VICTOR PHILLIP DAHDALEH BUILDING,Smoking Complaint,Subject Not Identified,"Security responded to a smoking complaint on the fifth floor. The source was determined to be individuals smoking in the stairwell however, the area was vacant upon arrival."
2020-000056,1/8/2020,12:15:00 AM,90 ATKINSON ROAD RESIDENCE,Noise Complaint,Source not Located,"Security responded to a noise complaint. Upon arrival, all appeared to be in order. The source of the noise was not determined"
2020-000058,1/8/2020,5:15:00 AM,SECOND STUDENT CENTRE,"Mischief, Under $5000",University Property,A Security patrol discovered several unauthorized stickers affixed inside a stairwell.
2020-000059,1/8/2020,9:49:00 AM,FOUNDERS COLLEGE,Suspicious Persons,Subject not Identified,A community member reported an encounter the previous day with an unknown male who acted in a suspicious manner. A description of the male was obtained.
2020-000060,1/8/2020,12:18:00 PM,380 ASSINIBOINE ROAD RESIDENCE,"Theft, Under $5000",University Property,Complainant reported the theft of keys left unattended in a locker room.
2020-000061,1/8/2020,12:29:00 PM,ACCOLADE EAST,"Disturbance, Causing",Loitering,A community member reported an unknown male was found loitering inside a second floor studio. The male left when directed to do so by the complainant. A description of the male was obtained.
2020-000065,1/8/2020,1:15:00 PM,VARI HALL,Information,Health & Safety Concern,Security and Toronto Police responded to a check on the well-being of a community member who was reported to be in distress. Toronto Police advised they would attend the individuals off campus residence.
2020-000062,1/8/2020,1:28:00 PM,VARI HALL,Suspicious Persons,Subject not Identified,A community member reported being followed by an unknown male while on the second floor the previous day. A description of the male was obtained.
2020-000063,1/8/2020,3:15:00 PM,VARI HALL,"Disturbance, Causing",Dispute,Security responded to a report that a community member was concerned for their well-being following a dispute with another known community member. No injuries were reported. The complainant notified Toronto Police.
2020-000064,1/8/2020,4:41:00 PM,CENTRAL SQUARE,"Mischief, Under $5000",University Property,Security responded to a report that unknown persons urinated on the carpeting within a first floor classroom. The Work Control Centre was notified.
2020-000066,1/8/2020,8:22:00 PM,ACCOLADE WEST,Emergency Medical,Sudden Illness,Security and EMS responded to a report of a community member experiencing back pain. EMS transported the individual to hospital for further medical care.
2020-000068,1/9/2020,1:27:00 AM,BEHAVIOURAL SCIENCE BUILDING,"Disturbance, Causing",Loitering,A Security patrol encountered two non- community members asleep inside a first floor classroom. The individuals were identified and directed to relocate to a common area.
2020-000067,1/9/2020,2:17:00 AM,TATHAM HALL RESIDENCE,Information,Health & Safety Concern,"Security responded to check on the well- being of an individual who appeared to be in distress. Upon arrival, the individual had left the area."
2020-000070,1/9/2020,3:38:00 AM,VARI HALL,Trespass to Property Act,Non-Community Member,Security responded to a report that a previously trespassed non-community member was loitering in the building. A description of the male was obtained.
2020-000069,1/9/2020,4:05:00 AM,ROSS BUILDING - NORTH TOWER,"Disturbance, Causing",Loitering,A Security patrol encountered a known non-community member asleep in a first floor hallway. The individual was identified and directed to relocate to a common area.
2020-000071,1/9/2020,4:25:00 AM,ROSS BUILDING - NORTH TOWER,"Disturbance, Causing",Loitering,A Security patrol encountered a community member loitering on the seventh floor. The individual was identified and relocated to a common area.
2020-000072,1/9/2020,6:06:00 AM,TATHAM HALL RESIDENCE,"Mischief, Under $5000",University Property,A Security patrol discovered damage to a fire safety communications cabinet located on the fourth floor.
2020-000073,1/9/2020,7:02:00 AM,YORK LANES RETAIL,Trespass to Property Act,Non-Community Member,Security and Toronto Police responded to a report that a previously trespassed non- community member was causing a disturbance inside a restaurant. The individual left campus prior to arrival. A description was obtained.
2020-000074,1/9/2020,10:29:00 AM,FIRST STUDENT CENTRE,Suspicious Persons,Subject not Identified,A community member reported an unknown male photographed them the previous day while in a common area. A description of the male was obtained.
2020-000099,1/9/2020,11:36:00 AM,YORK LANES OFFICES,Harassment,By Telephone,Security responded to a report that a community member received harassing telephone and email messages from a former community member.
2020-000075,1/9/2020,11:49:00 AM,YORK LANES RETAIL,Emergency Medical,Sudden Illness,Security responded to a report that a community member fainted while standing in a line at the Second Cup. First aid was provided on scene. EMS was declined and the individual attended the Medical Centre for further care.
2020-000077,1/9/2020,1:07:00 PM,SCHULICH SCHOOL OF BUSINESS,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended in a basement level hallway.
2020-000078,1/9/2020,1:34:00 PM,PETRIE SCIENCE and ENGINEERING,"Disturbance, Causing",Loitering,Security responded to a report of an unknown male loitering inside a first floor common area. The male was identified as a known non-community member and was directed to leave the building.
2020-000079,1/9/2020,2:19:00 PM,YORK LANES RETAIL,"Theft, Under $5000",Private Property,Security responded to a report from a York Lanes vendor that two individuals have stolen merchandise on several occasions. Toronto Police have been notified.
2020-000085,1/9/2020,3:28:00 PM,90 ATKINSON ROAD RESIDENCE,Information,General Complaint\ Concern,A community member reported a chemical odour in the building. Security and the Department of Health & Safety responded and determined the odour to be contractors refinishing the flooring inside an apartment.
2020-000083,1/9/2020,4:43:00 PM,FIRST STUDENT CENTRE,Emergency Medical,Injury,"Security, Toronto Fire and EMS responded to a report that an individual fainted and sustained a head injury. EMS transported the individual to hospital for further medical care."
2020-000082,1/9/2020,5:18:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a USB hard drive left unattended on the first floor.
2020-000086,1/9/2020,5:26:00 PM,VARI HALL,Fire Alarm,Malfunction,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a malfunction."
2020-000084,1/9/2020,5:39:00 PM,CENTRE OF EXCELLENCE,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended in a lower level classroom.
2020-000087,1/9/2020,6:40:00 PM,ACCOLADE WEST,"Disturbance, Causing",Soliciting,Security responded to a report that a group of unknown individuals were soliciting for an off campus business without authorization. Members of the group were cautioned and directed to leave campus.
2020-000112,1/9/2020,6:45:00 PM,ACCOLADE EAST,"Theft, Over $5000",Private Property,Complainant reported the theft of a musical instrument from a secure locker.
2020-000088,1/9/2020,11:14:00 PM,YORK LANES RETAIL,Harassment,Sexual,Security responded to investigate a social media post that reported an unknown male sexually harassed an unidentified community member the previous day.
2020-000095,1/10/2020,12:02:00 AM,BEHAVIOURAL SCIENCE BUILDING,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member loitering in the building. The individual was identified and escorted off campus.
2020-000091,1/10/2020,12:57:00 AM,WILLIAM SMALL CENTRE,Trespass to Property Act,Non-Community Member,"Security and Toronto Police responded to a report that a previously trespassed non- community member was acting in an intimidating manner towards a community member. The suspect was identified, cautioned and escorted off campus."
2020-000089,1/10/2020,1:15:00 AM,VANIER RESIDENCE,Emergency Medical,Existing Medical Condition,"Security, Toronto Fire and EMS responded to a report of a community member experiencing symptoms of an existing medical condition. EMS assessed the individual on scene. Further medical care was declined."
2020-000090,1/10/2020,3:04:00 AM,GLENDON COLLEGE - WOOD RESIDENCE,Emergency Medical,Slip\Trip\Fall,"Security and EMS responded to a report of an unconscious and unresponsive community member. Upon arrival, the individual regained consciousness and reported they fell at an off campus location. EMS transported the individual to hospital for further medical care."
2020-000092,1/10/2020,3:34:00 AM,SCOTT RELIGIOUS CENTRE,"Disturbance, Causing",Loitering,Security and Toronto Police responded to a report that a known non-community member was loitering. The individual was identified and requested to relocate to a common area.
2020-000093,1/10/2020,4:19:00 AM,ROSS BUILDING - SOUTH TOWER,"Disturbance, Causing",Loitering,A Security patrol encountered a non- community member asleep in a seventh floor hallway. The individual was identified and directed to relocate to a common area.
2020-000097,1/10/2020,11:34:00 AM,GLENDON COLLEGE - PARKING LOT F,Emergency Medical,Slip\Trip\Fall,Security responded to a report that a community member slipped and fell in the parking lot. First aid was provided on scene. EMS was declined. The Work Control Centre was notified.
2020-000098,1/10/2020,1:03:00 PM,CENTRAL SQUARE,Hate Incident,Non- Threatening,Security responded to a report that an unknown female made hate based comments towards two community members. A description of the female was obtained.
2020-000101,1/10/2020,6:23:00 PM,CALUMET RESIDENCE,Emergency Medical,Existing Medical Condition,Security and EMS responded to a report of a community member experiencing symptoms of an existing medical condition. EMS transported the individual to hospital for further medical care.
2020-000103,1/10/2020,11:33:00 PM,380 ASSINIBOINE ROAD RESIDENCE,"Theft, Under $5000",Private Property,Complainant reported the theft of a delivery package that was left unattended in a hallway.
2020-000105,1/11/2020,1:21:00 AM,MCLAUGHLIN COLLEGE,Smoking Complaint,Subject Not Identified,A Security patrol encountered a group of individuals smoking in the dining hall. The individuals were identified as non- community members and were directed to leave campus.
2020-000106,1/11/2020,9:38:00 PM,PARKING LOT EE - ATKINSON COLLEGE MEDICAL,Suspicious Persons,Subject not Identified,Toronto Police requested assistance in their investigation of an unknown male in a vehicle who acted in a concerning manner the previous day. Descriptions of the male and vehicle were obtained.
2020-000109,1/12/2020,4:45:00 PM,POND ROAD and SENTINEL RD,Suspicious Persons,Subject not Identified,A community member reported being followed and photographed by an unknown female. A description of the female was obtained.
2020-000110,1/12/2020,8:43:00 PM,VANIER RESIDENCE,Information,Health & Safety Concern,Security and Residence Life staff responded to a report of an unknown odour inside a residence room. The room was ventilated and all appeared to be in order. The Work Control Centre was notified.
2020-000111,1/13/2020,2:39:00 AM,NORMAN BETHUNE RESIDENCE,Fire Alarm,Malicious Activation,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be the malicious activation of a pull station.
2020-000113,1/13/2020,9:18:00 AM,CENTRE FOR FILM and THEATRE,"Theft, Under $5000",University Property,Complainant reported the theft of a laptop computer from a secure second floor office. There was no evidence of forced entry.
2020-000115,1/13/2020,10:09:00 AM,GLENDON COLLEGE - CENTRE OF EXCELLENCE,Emergency Medical,Existing Medical Condition,Security responded to a report of a community member experiencing symptoms of anxiety. EMS was declined and the individual left campus in the care of a family member.
2020-000124,1/13/2020,2:03:00 PM,SCOTT LIBRARY,Suspicious Persons,Subject not Identified,Complainant reported that an unknown male was observed inside the library after hours. A description of the male was obtained.
2020-000117,1/13/2020,2:17:00 PM,PARKING GARAGE - STUDENT SERVICES (PS3),Fraud,Parking Related,Security responded to a report that a vehicle tailgated behind another vehicle and exited the garage without making payment for parking. A licence plate number was obtained. Parking Enforcement was notified.
2020-000119,1/13/2020,2:55:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer and computer tablet left unattended on the first floor.
2020-000120,1/13/2020,2:59:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the third floor.
2020-000121,1/13/2020,3:35:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the fourth floor.
2020-000125,1/13/2020,6:07:00 PM,PARKING GARAGE - STUDENT SERVICES (PS3),Fraud,Parking Related,Security responded to a report that a vehicle tailgated behind another vehicle and exited the garage without making payment for parking. A licence plate number was obtained. Parking Enforcement was notified.
2020-000126,1/13/2020,6:26:00 PM,THE COMMON ROAD,Uttering Threats,Unknown Suspect,Security responded to a report that an unknown male uttered a threat towards a community member. The male refused to provide identification and left campus.
2020-000127,1/13/2020,7:29:00 PM,SECOND STUDENT CENTRE,"Disturbance, Causing",Common Nuisance,Security responded to a report that an unknown male was causing a disturbance in a prayer room and asking for medication. The male was located refused to provide identification. He was directed to leave campus.
2020-000128,1/13/2020,9:11:00 PM,IAN MACDONALD BLVD,Motor Vehicle Incident,Fail to Obey Regulatory Signs,A Security patrol observed a vehicle being operated at a high rate of speed and fail to stop at several stop signs. A licence plate number was obtained.
2020-000129,1/13/2020,10:37:00 PM,TAIT MCKENZIE BLDG,"Theft, Under $5000",Private Property,"Complainant reported the theft of a laptop computer, cellular phone and cash from a backpack left unattended in the fieldhouse."
2020-000130,1/14/2020,8:27:00 AM,VICTOR PHILLIP DAHDALEH BUILDING,"Mischief, Under $5000",University Property,A Security patrol discovered evidence of individuals loitering in a stairwell. The Work Control Centre was notified.
2020-000132,1/14/2020,12:51:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the fifth floor.
2020-000136,1/14/2020,2:33:00 PM,SCOTT LIBRARY,Trespass to Property Act,Non-Community Member,Security responded to a report that an unknown male was causing a disturbance in the library. The individual was identified as a previously trespassed non-community member and was escorted off campus.
2020-000134,1/14/2020,3:38:00 PM,CURTIS LECTURE HALLS,Emergency Medical,Sudden Illness,Security responded to a report of a community member experiencing symptoms of anxiety. Medical care was declined and the individual was escorted to the Student Counseling Centre.
2020-000137,1/14/2020,5:11:00 PM,NORMAN BETHUNE COLLEGE,Emergency Medical,Sudden Illness,"Security, Toronto Fire and EMS responded to a report of a community member experiencing symptoms of anxiety. EMS transported the individual to hospital for further medical care."
2020-000138,1/14/2020,10:23:00 PM,360 ASSINIBOINE ROAD RESIDENCE,Noise Complaint,Source Located,Security responded to a noise complaint. The source of the noise was determined to be emanating from inside an apartment. The leaseholder was identified and requested to lower the noise level.
2020-000139,1/14/2020,11:25:00 PM,BEHAVIOURAL SCIENCE BUILDING,"Disturbance, Causing",Loitering,Security responded to a report that two non-community members were found asleep inside a first floor room. The individuals were directed to leave the building and relocate to a common area.
2020-000152,1/15/2020,8:05:00 AM,PARKING LOT 2 - ALBANY ROAD OUTER RESERVED,Suspicious Persons,Subject not Identified,A community member reported observing an unknown male in the parking lot the previous evening who acted in a suspicious manner. A description of the male was obtained.
2020-000140,1/15/2020,8:34:00 AM,PARKING GARAGE - ARBORETUM LANE (PS2),"Mischief, Under $5000",Private Property,Complainant reported their vehicle was tampered with while parked in the garage.
2020-000141,1/15/2020,9:17:00 AM,ATKINSON COLLEGE,"Mischief, Under $5000",University Property,Security responded to a report of a smashed pane of glass in a stairwell exterior door. The Work Control Centre was notified.
2020-000142,1/15/2020,9:53:00 AM,PARKING LOT 9 - THE POND ROAD RESERVED,Motor Vehicle Incident,Fail to Remain,Complainant reported their vehicle was struck and damaged while parked in the lot the previous day.
2020-000145,1/15/2020,12:11:00 PM,CURTIS LECTURE HALLS,Fire Alarm,Malfunction,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a malfunction."
2020-000147,1/15/2020,12:32:00 PM,MCLAUGHLIN COLLEGE,Smoking Complaint,Subject Not Identified,"Security responded to a smoking complaint. The source of the smoke was determined to be unknown individuals smoking in a stairwell. Upon arrival, the area was vacant."
2020-000146,1/15/2020,1:21:00 PM,PARKING GARAGE - STUDENT SERVICES (PS3),Fraud,Parking Related,Security responded to a report that a vehicle tailgated behind another vehicle and exited the garage without making payment for parking. A licence plate number was obtained. Parking Enforcement was notified.
2020-000153,1/15/2020,1:24:00 PM,MCEWEN GRADUATE STUDY & RESEARCH BLDG,"Mischief, Under $5000",University Property,Complainant reported a second floor storage room door lock had been tampered with. The Work Control Centre was notified.
2020-000148,1/15/2020,1:46:00 PM,STEDMAN LECTURE HALLS,Emergency Medical,Existing Medical Condition,"Security, Toronto Police and EMS responded to a report of a community member in distress. EMS transported the individual to hospital for further medical care."
2020-000150,1/15/2020,1:55:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the third floor.
2020-000149,1/15/2020,3:09:00 PM,ROSS BUILDING - NORTH TOWER,"Theft, Under $5000",Private Property,Complainant reported the theft of a book left unattended inside a first floor washroom.
2020-000151,1/15/2020,4:24:00 PM,FINE ARTS ROAD,"Mischief, Under $5000",University Property,A Security patrol discovered an unauthorized sticker affixed to an exterior lamp standard. The Work Control Centre was notified.
2020-000154,1/16/2020,12:48:00 AM,PASSY RESIDENCE,Noise Complaint,Source Located,Security responded to a noise complaint. The source of the noise was determined to be a loud party inside an apartment. The leaseholder was identified and requested to lower the noise level.
2020-000155,1/16/2020,8:35:00 AM,FIRST STUDENT CENTRE,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member asleep on the second floor. The individual was identified and directed to leave campus.
2020-000156,1/16/2020,10:40:00 AM,VICTOR PHILLIP DAHDALEH BUILDING,Emergency Medical,Sudden Illness,Security and EMS responded to a report that a community member fainted during a class. EMS assessed the individual on scene. Further medical care was declined.
2020-000157,1/16/2020,11:42:00 AM,BERGERON ENGINEERING BUILDING,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended in the building.
2020-000159,1/16/2020,12:30:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the fifth floor.
2020-000162,1/16/2020,1:57:00 PM,THE COMMON ROAD,"Theft, Under $5000",Private Property,A non-community member reported the theft of a cellular phone. A description of the suspect was obtained.
2020-000161,1/16/2020,2:46:00 PM,PARKING GARAGE - STUDENT SERVICES (PS3),Fraud,Parking Related,Security responded to a report that a vehicle tailgated behind another vehicle and exited the garage without making payment for parking. A licence plate number was obtained. Parking Enforcement was notified.
2020-000163,1/16/2020,3:57:00 PM,MCLAUGHLIN COLLEGE,Smoking Complaint,Caution Issued,Security responded to a smoking complaint. The source of the smoke was determined to be a group of individuals smoking cannabis inside a stairwell. The group fled from the area when approached by Security.
2020-000164,1/16/2020,5:32:00 PM,PARKING GARAGE - STUDENT SERVICES (PS3),Fraud,Parking Related,Security responded to a report that a vehicle tailgated behind another vehicle and exited the garage without making payment for parking. A licence plate number was obtained. Parking Enforcement was notified.
2020-000199,1/16/2020,8:26:00 PM,PASSY RESIDENCE,"Disturbance, Causing",Common Nuisance,A resident reported ongoing harassment by another resident. A description of the male was obtained. Housing Services was notified.
2020-000166,1/17/2020,1:21:00 AM,WINTERS COLLEGE,Emergency Medical,Sudden Illness,Security responded to a report of an intoxicated community member. Medical care was declined and the individual left campus in the care of a friend.
2020-000167,1/17/2020,8:39:00 AM,CURTIS LECTURE HALLS,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer and jacket left unattended inside a first floor lecture hall.
2020-000168,1/17/2020,8:55:00 AM,ACCOLADE WEST,Assault,Common,Security and Toronto Police responded to a report that a community member was assaulted by an unknown female. No injuries were reported. A description of the female was obtained.
2020-000169,1/17/2020,11:26:00 AM,LIFE SCIENCES BUILDING,Emergency Medical,Slip\Trip\Fall,Security responded to a report that a community member tripped and sustained a hand injury. First aid was provided on scene. EMS was declined.
2020-000170,1/17/2020,12:17:00 PM,GLENDON COLLEGE - YORK HALL,Emergency Medical,Existing Medical Condition,Security responded to a report of a community member with a leg injury. EMS was declined and the individual left campus in the care of a family member.
