Incident Number,Reported Date,Reported Time,Location,Category,Subcategory,Incident Summary
2020-003040,12/31/2020,1:32:00 AM,340 ASSINIBOINE ROAD RESIDENCE,Information,Health & Safety Concern,Security responded to a report of smoke in the residence. The source of the smoke was determined to be incense.
2020-003042,12/31/2020,8:38:00 AM,FARQUHARSON BUILDING,Trespass to Property Act,Non-Community Member,Security responded to a report of an unknown male asleep on the second floor. The male was identified as a previously trespassed non-community member and directed to leave campus.
2020-003043,12/31/2020,12:56:00 PM,YORK LANES RETAIL,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member in the building. The individual was identified and directed to leave campus.
2021-000001,1/1/2021,2:21:00 PM,WILLIAM SMALL CENTRE,"Disturbance, Causing",Loitering,A Security patrol encountered a non- community member loitering inside a washroom. The individual was identified and directed to leave the building.
2021-000004,1/2/2021,1:55:00 AM,360 ASSINIBOINE ROAD RESIDENCE,Noise Complaint,Source Located,Security responded to a noise complaint. The source of the noise was determined to be loud talking inside an apartment. The leaseholder was identified and requested to lower the noise level.
2021-000005,1/2/2021,1:11:00 PM,PASSY RESIDENCE,Fire Alarm,Malicious Activation,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be the malicious activation of a pull station.
2021-000006,1/2/2021,2:29:00 PM,PASSY RESIDENCE,"Mischief, Under $5000",University Property,A community member reported a heating unit located in a stairwell had been contaminated with feces. Housing Services and the Work Control Centre were notified.
2021-000007,1/2/2021,3:58:00 PM,YORK LANES RETAIL,"Disturbance, Causing",Loitering,Security responded to a report of an unknown male loitering and harassing Custodial staff. A description of the suspect was obtained.
2021-000008,1/2/2021,10:07:00 PM,TATHAM HALL RESIDENCE,Disorderly Behaviour,Unauthorized Activities,Security and Residence Life staff responded to a report that a resident failed to abide by the guest sign-in policy and made several attempts to permit a non- resident to enter the building through an emergency exit door. The involved parties were identified and cautioned.
2021-000009,1/3/2021,12:26:00 AM,VARI HALL,Information,Health & Safety Concern,Security responded to check on the well- being of a community member who had not been seem or heard from several days. The community member was located and all was reported to be in order.
2021-000011,1/3/2021,3:51:00 AM,340 ASSINIBOINE ROAD RESIDENCE,Noise Complaint,Source not Located,"Security responded to a noise complaint. Upon arrival, all was quiet and appeared to be in order."
2021-000010,1/3/2021,3:58:00 AM,380 ASSINIBOINE ROAD RESIDENCE,Emergency Medical,Existing Medical Condition,Security responded to a report of an individual experiencing symptoms of an existing medical condition. EMS was declined.
2021-000012,1/3/2021,7:27:00 AM,EXECUTIVE LEARNING CENTRE,"Mischief, Under $5000",University Property,Security responded to a report of the unauthorized entry to the building and tampering of lockers. A description of a suspect was obtained.
2021-000013,1/3/2021,8:55:00 PM,STONG COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure perimeter door. The lock had been tampered with and was secured.
2021-000015,1/3/2021,11:38:00 PM,FIRST STUDENT CENTRE,"Disturbance, Causing",Loitering,"A Security patrol discovered evidence of unknown individuals loitering in a stairwell. Discarded alcohol bottles, food containers and smoking debris were observed. The Work Control Centre was notified."
2021-000016,1/4/2021,3:37:00 AM,360 ASSINIBOINE ROAD RESIDENCE,Noise Complaint,Source Located,"Security responded to a noise complaint. Upon arrival, all was quiet and appeared to be in order."
2021-000017,1/4/2021,8:50:00 AM,FARQUHARSON BUILDING,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member loitering inside a washroom. The individual was identified and directed to leave campus.
2021-000018,1/4/2021,10:29:00 AM,SCHULICH SCHOOL OF BUSINESS,"Mischief, Under $5000",Private Property,A Security patrol discovered a damaged vending machine. The display glass panel had been smashed. The Work Control Centre and property owner were notified.
2021-000019,1/4/2021,7:29:00 PM,PARKING LOT - PASSY CRESCENT RESERVED,"Disturbance, Causing",Dispute,"Security and Toronto Police responded to a report of a disturbance in the parking lot. A community member and a non- community member were involved in a dispute. Both individuals were identified, cautioned and directed to part ways for the remainder of the day."
2021-000020,1/5/2021,3:38:00 AM,STEACIE SCIENCE AND ENGINEERING BLDG,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member loitering in the building. The individual was identified and escorted off campus.
2021-000023,1/5/2021,7:24:00 AM,ROSS BUILDING - NORTH TOWER,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member loitering on the seventh floor. The individual was identified and escorted off campus.
2021-000024,1/5/2021,7:59:00 PM,KEELE CAMPUS RESIDENCE,Domestic Dispute,Community Member,"Security responded to a report of two individuals involved in a dispute. A community member and a non-community member were identified, cautioned and directed to part ways for the remainder of the day."
2021-000028,1/6/2021,12:34:00 AM,380 ASSINIBOINE ROAD RESIDENCE,"Mischief, Under $5000",University Property,Security responded to a report of a smashed pane of glass in the lobby perimeter door. The Work Control Centre was notified.
2021-000025,1/6/2021,1:33:00 AM,PARKING LOT - PASSY CRESCENT RESERVED,Domestic Dispute,Community Member,"Security and Toronto Police responded to a report of two individuals involved in a dispute in the parking lot. A community member and a non-community member were identified, cautioned and directed to part ways for the remainder of the morning."
2021-000026,1/6/2021,4:14:00 AM,90 ATKINSON ROAD RESIDENCE,Fire Alarm,Unknown Cause,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was not determined.
2021-000029,1/6/2021,4:14:00 AM,90 ATKINSON ROAD RESIDENCE,Fire Alarm,Malfunction,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a malfunction.
2021-000030,1/6/2021,9:53:00 AM,VANIER COLLEGE,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member asleep in a first floor hallway. The individual was identified and directed to leave campus.
2021-000031,1/6/2021,2:28:00 PM,KEELE CAMPUS RESIDENCE,Emergency Medical,Existing Medical Condition,Security and Residence Life staff responded to assist in locating a community member who was reported to be in distress. The individual was located a short time later at an off campus location and all was reported to be in order.
2021-000032,1/6/2021,3:30:00 PM,KEELE CAMPUS,"Computer, Unauthorized Use",User Account,A community member reported their university account had been compromised by an email phishing scam. Information Security personnel are investigating.
2021-000034,1/6/2021,4:25:00 PM,FARQUHARSON BUILDING,"Mischief, Under $5000",University Property,A Security patrol discovered a smashed pane of glass in a second floor hallway. The Work Control Centre was notified.
2021-000039,1/6/2021,8:37:00 PM,CALUMET COLLEGE,"Disturbance, Causing",Loitering,Security responded to a report of individuals loitering in the building. Five unknown individuals were cautioned and directed to leave the building.
2021-000036,1/6/2021,9:03:00 PM,WILLIAM SMALL CENTRE,"Disturbance, Causing",Loitering,A Security patrol encountered a non- community member loitering and bathing inside a first floor washroom. The individual was identified and directed to leave the building.
2021-000041,1/7/2021,12:19:00 AM,SCHULICH SCHOOL OF BUSINESS,"Mischief, Under $5000",University Property,"Security responded to a report of an unauthorized entry and damage inside a basement level room. Furniture had been tampered with and the room was soiled with discarded food, vomit and feces. The Work Control Centre was notified."
2021-000042,1/7/2021,7:06:00 AM,KEELE CAMPUS,"Computer, Unauthorized Use",User Account,A community member reported their university account had been compromised by an email phishing scam. Information Security personnel are investigating.
2021-000043,1/7/2021,10:47:00 AM,380 ASSINIBOINE ROAD RESIDENCE,"Theft, Under $5000",Private Property,Complainant reported the theft of elevator components left unattended in the lobby by a contractor. Toronto Police are investigating.
2021-000044,1/7/2021,2:17:00 PM,PARKING LOT HH - POND ROAD VISITORS,"Mischief, Under $5000",Private Property,A community member reported their vehicle was damaged while parked in the lot. The rear window had been smashed.
2021-000045,1/7/2021,2:57:00 PM,VARI HALL,"Disturbance, Causing",Loitering,"Security responded to a report of two unknown males asleep in the building. Upon arrival, one individual was located and was escorted out of the building."
2021-000046,1/7/2021,5:05:00 PM,YORK BLVD,"Mischief, Under $5000",University Property,A Security patrol discovered a damaged traffic sign. The Work Control Centre was notified.
2021-000050,1/8/2021,12:38:00 AM,VARI HALL,"Disturbance, Causing",Loitering,Security responded to a report of an unknown male asleep inside a second floor washroom. The individual was cautioned and escorted off campus.
2021-000051,1/8/2021,3:58:00 AM,VARI HALL,"Disturbance, Causing",Loitering,Security responded to a report of an unknown male loitering in the building. A description of the male was obtained.
2021-000052,1/8/2021,4:24:00 PM,CENTRAL SQUARE,"Disturbance, Causing",Loitering,Security responded to a report of an unknown male loitering in the building. The male declined to provide identification and was escorted off campus.
2021-000053,1/9/2021,12:25:00 AM,360 ASSINIBOINE ROAD RESIDENCE,Noise Complaint,Source Located,Security responded to a noise complaint. The source of the noise was determined to be emanating from inside an apartment. The leaseholder was identified and requested to lower the noise level.
2021-000054,1/9/2021,4:18:00 AM,CAMPUS WALK,Information,Health & Safety Concern,"A Security patrol encountered a previously trespassed non-community member loitering in the Tim Horton's seating area. Due to inclement weather, the individual was permitted to remain in the area until subway service resumed."
2021-000055,1/9/2021,7:09:00 AM,WILLIAM SMALL CENTRE,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member asleep in the Tim Horton's seating area. The male was identified and directed to leave campus.
2021-000056,1/9/2021,4:06:00 PM,CENTRAL SQUARE,"Disturbance, Causing",Loitering,Security responded to a report of an unknown male loitering in the west bear pit. The male was directed to leave the building.
2021-000057,1/9/2021,8:19:00 PM,CURTIS LECTURE HALLS,Disorderly Behaviour,Skateboarding\Cy cling in Bldg,A Security patrol encountered two individuals skate boarding on the second floor. The individuals were cautioned and directed to leave the building.
2021-000059,1/10/2021,3:42:00 AM,TATHAM HALL RESIDENCE,Fire (Actual),Unintentional,Security responded to a report of a cooking related fire in the fourth floor common room. The fire was contained inside a microwave and extinguished without incident. No injures were reported.
2021-000060,1/10/2021,11:30:00 AM,320 ASSINIBOINE ROAD RESIDENCE,Trespass to Property Act,Non-Community Member,Security responded to a report of an unknown male loitering in the lobby. The male was identified as a previously trespassed non-community member and he was escorted off campus.
2021-000063,1/10/2021,6:19:00 PM,320 ASSINIBOINE ROAD RESIDENCE,Noise Complaint,Source not Located,"Security responded to a noise complaint. Upon arrival, all was quiet and appeared to be in order."
2021-000066,1/10/2021,10:14:00 PM,320 ASSINIBOINE ROAD RESIDENCE,Trespass to Property Act,Non-Community Member,Security responded to a report of an unknown male loitering in the residence. The male was identified as a previously trespassed non-community member and was escorted off campus.
2021-000064,1/10/2021,11:59:00 PM,ROSS BUILDING - SOUTH TOWER,"Mischief, Under $5000",University Property,A Security patrol discovered a damaged university sign located in a ninth floor hallway. The Work Control Centre was notified.
2021-000065,1/10/2021,11:59:00 PM,VARI HALL,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member asleep on the third floor. The individual was identified and escorted out of the building.
2021-000068,1/11/2021,8:36:00 AM,YORK LANES OFFICES,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member asleep inside a stairwell. The individual was identified and directed to leave campus.
2021-000067,1/11/2021,9:06:00 AM,STEACIE SCIENCE AND ENGINEERING BLDG,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member loitering in the building. The individual was identified and directed to leave campus.
2021-000069,1/11/2021,3:24:00 PM,WINTERS RESIDENCE,Fire Alarm,Cooking Related,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be cooking related."
2021-000072,1/11/2021,3:38:00 PM,90 ATKINSON ROAD RESIDENCE,Suspicious Persons,Subject not Identified,Security responded to a report of an unauthorized entry into the residence by an unknown male. A description of the male was not available.
2021-000070,1/11/2021,3:51:00 PM,VANIER COLLEGE,"Mischief, Under $5000",University Property,"A Security patrol discovered an insecure emergency exit door. The lock had been tampered with and was secured,"
2021-000071,1/11/2021,5:11:00 PM,YORK LANES RETAIL,Harassment,Sexual,Security and Toronto Police responded to investigate a report that an unknown male made sexually explicit comments towards a visitor. A description of the suspect was obtained. The investigation is ongoing.
2021-000073,1/11/2021,5:15:00 PM,320 ASSINIBOINE ROAD RESIDENCE,Trespass to Property Act,Non-Community Member,Complainant reported an unknown male entered the residence on several occasions by following behind residents. The male has been observed loitering inside a stairwell and has acted in a belligerent manner. A description of the male was obtained. He was later identified as a known non-community member.
2021-000074,1/11/2021,8:06:00 PM,NORMAN BETHUNE COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure perimeter door. The lock had been tampered with and was secured.
2021-000075,1/12/2021,12:13:00 AM,SECOND STUDENT CENTRE,Fire Alarm,Malfunction,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a malfunction.
2021-000076,1/12/2021,1:10:00 AM,340 ASSINIBOINE ROAD RESIDENCE,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member loitering outside the residence. The individual was identified and declined assistance for alternative housing. The individual was escorted off campus.
2021-000082,1/12/2021,9:52:00 AM,GLENDON COLLEGE - LESLIE FROST LIBRARY,Fire Alarm,Malfunction,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a malfunction.
2021-000078,1/12/2021,10:38:00 AM,320 ASSINIBOINE ROAD RESIDENCE,"Disturbance, Causing",Loitering,A Security patrol discovered evidence of individuals loitering in a stairwell. Discarded food and beverage containers and personal property was collected and disposed of.
2021-000077,1/12/2021,10:42:00 AM,SCHOLARS WALK,Emergency Medical,Slip\Trip\Fall,Security and EMS responded to a report that a community member fell and sustained injuries. EMS transported the individual to hospital for further medical care.
2021-000080,1/12/2021,12:42:00 PM,VARI HALL,"Disturbance, Causing",Loitering,Security responded to a report of an unknown male asleep in a second floor hallway. The individual was directed to leave the building.
2021-000081,1/12/2021,3:22:00 PM,ROSS BUILDING - SOUTH TOWER,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure perimeter door on the Ross Podium. The lock had been tampered with and was secured.
2021-000089,1/12/2021,3:47:00 PM,ROSS BUILDING - SOUTH TOWER,"Disturbance, Causing",Loitering,"Security responded to investigate several complaints of unknown individuals loitering and causing damage to property on the third and fifth floors. The individuals are reported to be sleeping, smoking and urinating in the hallways."
2021-000084,1/12/2021,4:33:00 PM,ROSS BUILDING - SOUTH TOWER,"Mischief, Under $5000",University Property,A Security patrol discovered two smashed panes of glass in a third floor hallway. The Work Control Centre was notified.
2021-000085,1/12/2021,4:50:00 PM,ROSS BUILDING - NORTH TOWER,"Mischief, Under $5000",University Property,A Security patrol discovered a fifth floor office door lock had been tampered with. The door was secure.
2021-000086,1/12/2021,4:51:00 PM,VANIER COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure emergency exit door. The lock had been tampered with and was secured.
2021-000087,1/12/2021,5:09:00 PM,ROSS BUILDING - SOUTH TOWER,"Disturbance, Causing",Loitering,"A Security patrol discovered evidence of individuals loitering in a stairwell on the fifth floor. Discarded food containers, drug paraphernalia and other garbage debris were collected and disposed of."
2021-000088,1/12/2021,5:32:00 PM,CURTIS LECTURE HALLS,"Mischief, Under $5000",University Property,A Security patrol discovered in insecure perimeter door. The lock had been tampered with and was secured.
2021-000090,1/12/2021,7:39:00 PM,ROSS BUILDING - SOUTH TOWER,"Mischief, Under $5000",University Property,A Security patrol discovered evidence of an attempt forced entry to an eighth floor office. It did not appear access was gained and the contents of the office appeared to be in order.
2021-000093,1/13/2021,1:21:00 PM,YORK LANES RETAIL,"Disturbance, Causing",Loitering,Security responded to a report of an unknown male loitering inside a first floor washroom. The male refused to cooperate and acted in a belligerent manner before he was escorted off campus. A description of the male was obtained.
2021-000096,1/13/2021,9:39:00 PM,ROSS BUILDING - NORTH TOWER,"Mischief, Under $5000",University Property,"Security responded to a report of deliberate damage to a faucet inside a sixth floor washroom. The Work Control Centre was notified,"
2021-000097,1/13/2021,10:50:00 PM,ROSS BUILDING - NORTH TOWER,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member loitering on the third floor. The individual was identified and escorted off campus.
2021-000108,1/14/2021,4:41:00 AM,90 ATKINSON ROAD RESIDENCE,Fire Alarm,Malfunction,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a malfunction.
2021-000099,1/14/2021,8:00:00 AM,WILLIAM SMALL CENTRE,"Disturbance, Causing",Loitering,A vendor reported they have observed an unknown female asleep in a second floor hallway every morning for the past several days. A description of the female was obtained.
2021-000102,1/14/2021,8:02:00 AM,NORMAN BETHUNE COLLEGE,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member loitering on the third floor. The individual was identified and directed to leave campus.
2021-000101,1/14/2021,8:16:00 AM,GLENDON COLLEGE - CENTRE OF EXCELLENCE,"Mischief, Under $5000",University Property,Security responded to a report of offensive graffiti written on a white board inside a third floor lecture hall. The graffiti was removed.
2021-000103,1/14/2021,10:02:00 AM,ROSS BUILDING - NORTH TOWER,"Mischief, Under $5000",University Property,A community member reported deliberate damage to washroom fixtures on the sixth and third floors. The Work Control Centre was notified.
2021-000104,1/14/2021,11:23:00 AM,YORK LANES RETAIL,"Disturbance, Causing",Loitering,Security responded to a report of an unknown male asleep in the mall. A description of the male was obtained and he was directed to leave the building.
2021-000105,1/14/2021,1:55:00 PM,GLENDON HALL,Damage,University Property,Security responded to a report of damage to the exterior entry door canopy. The cause of the damage was not determined.
2021-000107,1/14/2021,3:38:00 PM,ROSS BUILDING - SOUTH TOWER,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member loitering and smoking cannabis in a stairwell. The individual was identified and directed to leave campus.
2021-000106,1/14/2021,4:16:00 PM,PASSY RESIDENCE,"Mischief, Under $5000",University Property,Security and York Fire Prevention responded to investigate a report from a resident that an unknown male accessed the fire annunciator system without authorization.
2021-000109,1/14/2021,7:34:00 PM,320 ASSINIBOINE ROAD RESIDENCE,"Theft, Under $5000",Private Property,A community member reported the theft of a package that had been delivered and left unattended in the lobby.
2021-000110,1/14/2021,8:27:00 PM,90 ATKINSON ROAD RESIDENCE,Smoking Complaint,Subject Not Identified,"A community member reported a group of unknown individuals were smoking cannabis in a stairwell. Upon arrival, the area was vacant however, the odour of smoke was present."
2021-000111,1/15/2021,8:54:00 AM,CURTIS LECTURE HALLS,"Mischief, Over $5000",University Property,Security responded to a report of deliberate damage to a vanity and hand dryer located inside a second floor washroom. A discharged fire extinguisher found nearby appeared to have been used to strike the washroom fixtures and cause the damage. The Work Control Centre was notified.
2021-000112,1/15/2021,9:58:00 AM,ROSS BUILDING - NORTH TOWER,Smoking Complaint,Caution Issued,A Security patrol discovered evidence of individuals smoking on multiple floors. A previously trespassed non-community member was encountered in the vicinity and was cautioned before being escorted off campus.
2021-000113,1/15/2021,9:58:00 AM,ROSS BUILDING - NORTH TOWER,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member loitering on the sixth floor. The individual was identified and escorted off campus.
2021-000114,1/15/2021,3:36:00 PM,PASSY RESIDENCE,"Theft, Under $5000",Private Property,Complainant reported the theft of packages that had been delivered and left unattended in the mail room.
2021-000115,1/15/2021,5:36:00 PM,PARKING GARAGE - STUDENT SERVICES (PS3),Smoking Complaint,Subject Not Identified,"Security responded to a report of a group of unknown males smoking cannabis in the parking garage. Upon arrival, the group left the garage."
2021-000117,1/15/2021,6:11:00 PM,CURTIS LECTURE HALLS,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure perimeter door. The lock had been tampered with and was secured.
2021-000116,1/15/2021,6:18:00 PM,PARKING LOT - SENTINEL ROAD EAST RESERVED,"Theft, Under $5000",Private Property,A community member reported the theft of a vehicle tire and rim from a parked vehicle.
2021-000119,1/16/2021,12:22:00 AM,90 ATKINSON ROAD RESIDENCE,Smoking Complaint,Subject Not Identified,Security responded to a smoking complaint. The source of the smoke was not determined.
2021-000120,1/16/2021,3:52:00 PM,YORK LANES RETAIL,Suspicious Persons,Subject not Identified,A community member reported being followed by an unknown male while walking from York Lanes to their on campus residence. A description of the suspect was obtained. Toronto Police was notified.
2021-000121,1/16/2021,5:04:00 PM,YORK LANES RETAIL,Harassment,General,Security responded to a report that a community member was harassed by an unknown male who was loitering inside a washroom. The male was identified as a previously trespassed non-community member and was escorted out of the building.
2021-000122,1/16/2021,10:25:00 PM,90 ATKINSON ROAD RESIDENCE,Noise Complaint,Source Located,Security responded to a noise complaint. The source of the noise was determined to be loud music emanating from inside an apartment. The leaseholder was identified and requested to lower the noise level.
2021-000123,1/16/2021,11:02:00 PM,360 ASSINIBOINE ROAD RESIDENCE,Smoking Complaint,Subject Not Identified,"Security responded to a smoking complaint. Upon arrival, all appeared to be in order."
2021-000124,1/17/2021,11:23:00 AM,ROSS BUILDING - SOUTH TOWER,"Mischief, Under $5000",University Property,A Security patrol discovered two insecure perimeter doors. The locks had been tampered with and were secured.
2021-000125,1/17/2021,2:43:00 PM,YORK LANES RETAIL,Suspicious Persons,Subject not Identified,"A community member reported being followed by an unknown male while shopping in York Lanes. A description of the male was obtained. Upon arrival, the male fled on foot. He was later identified as a known non-community member. Toronto Police was notified."
2021-000126,1/17/2021,4:58:00 PM,YORK LANES RETAIL,Suspicious Persons,Subject not Identified,A community member reported an unknown male appeared to follow them while walking from York Lanes to Vanier parking lot. A description of the male was obtained. He was later identified as a known non-community member. Toronto Police was notified.
2021-000127,1/17/2021,9:07:00 PM,ROSS BUILDING - SOUTH TOWER,Hate Incident,Non-Threatening,Security and Toronto Police responded to a report of hate based graffiti written in a first floor washroom. The Work Control Centre was notified.
2021-000128,1/18/2021,10:35:00 AM,YORK LANES RETAIL,Emergency Medical,Existing Medical Condition,Security and EMS responded to a report of a community member experiencing chest pain. EMS transported the individual to hospital for further medical care.
2021-000129,1/18/2021,11:45:00 AM,GOLDFARB CENTRE FOR FINE ARTS,Emergency Medical,Injury,Security and EMS responded to a report that a community member sustained a thermal burn while conducting maintenance in the building. EMS transported the individual to hospital for further medical care.
2021-000130,1/18/2021,3:02:00 PM,LASSONDE BUILDING,Trespass to Property Act,Community Member,"Security responded to a report of an unknown male asleep on a bench in the building. The individual, identified as a previously trespassed non-community member fled and exited the building."
2021-000131,1/18/2021,4:20:00 PM,MCLAUGHLIN COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure perimeter door. The lock had been tampered with and was secured.
2021-000132,1/18/2021,7:51:00 PM,PASSY RESIDENCE,"Theft, Under $5000",Private Property,Complainant reported the theft of a package that was delivered and left unattended in the building.
2021-000133,1/19/2021,12:10:00 AM,320 ASSINIBOINE ROAD RESIDENCE,Noise Complaint,Source Located,Security responded to a noise complaint. The source of the noise was determined to be a loud gathering of individuals inside an apartment. The leaseholder was identified and requested to lower the noise level.
2021-000134,1/19/2021,8:16:00 AM,CURTIS LECTURE HALLS,"Mischief, Under $5000",University Property,Security responded to a report of deliberate damage to a vanity located inside a second floor washroom. The Work Control Centre was notified.
2021-000135,1/19/2021,2:36:00 PM,VARI HALL,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member asleep in a first floor hallway. The individual was identified and directed to leave campus.
2021-000137,1/19/2021,4:53:00 PM,VANIER COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure perimeter door. The lock had been tampered with and was secured.
2021-000138,1/19/2021,7:41:00 PM,PARKING LOT - FOUNDERS ROAD EAST,Suspicious Persons,Subject not Identified,"A Security patrol encountered a parked vehicle with several individuals inside. When approached, the vehicle quickly left campus."
2021-000139,1/19/2021,10:20:00 PM,PARKING GARAGE - STUDENT SERVICES (PS3),Suspicious Persons,Subject not Identified,"Security responded to a report of a group of unknown males acting in a suspicious manner. Upon arrival, the males entered a vehicle and left the area."
2021-000140,1/20/2021,12:15:00 AM,ROSS BUILDING - SOUTH TOWER,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member loitering inside a second floor construction area. The individual was identified and directed to leave campus.
2021-000141,1/20/2021,6:30:00 AM,KEELE CAMPUS RESIDENCE,Suspicious Persons,Subject not Identified,A community member reported observing an unknown male asleep in a stairwell the previous day. The male was later identified as a community member. Residence Life staff was notified and advised they would provide the individual with supports.
2021-000142,1/20/2021,8:36:00 AM,YORK LANES OFFICES,Trespass to Property Act,Non-Community Member,Security responded to a report of an unknown male asleep in the first floor elevator lobby. The individual was identified as a previously trespassed non- community member and directed to leave campus.
2021-000143,1/20/2021,10:14:00 AM,LIFE SCIENCES BUILDING,Suspicious Persons,Subject not Identified,A community member reported being followed by an unknown male while walking from Central Square to the Life Sciences building. A description of the male was obtained.
2021-000145,1/20/2021,3:26:00 PM,YORK LANES RETAIL,Trespass to Property Act,Non-Community Member,Security responded to a report of an unknown male panhandling inside the mall. The individual was identified as a previously trespassed non-community member and directed to leave campus.
2021-000146,1/20/2021,4:14:00 PM,CURTIS LECTURE HALLS,Information,Health & Safety Concern,"A Security patrol encountered two community members inside an insecure construction area without authorization. The community members were identified, cautioned and directed to leave the area."
