Incident Number,Reported Date,Reported Time,Location,Category,Subcategory,Incident Summary
2019-000014,1/3/2019,11:48:00 AM,ROSS BUILDING - NORTH TOWER,Emergency Medical,Existing Medical Condition,"Security, Toronto Fire and EMS responded to a report of a community member experiencing a seizure. EMS transported the individual to hospital for further medical care."
2019-000021,1/4/2019,12:59:00 PM,ROSS BUILDING - SOUTH TOWER,Emergency Medical,Injury,Security responded to a report that a community member sustained a burn from a spilled beverage. First aid was provided on scene. Further medical care was declined.
2019-000023,1/4/2019,7:25:00 PM,SCOTT LIBRARY,Trespass to Property Act,Non-Community Member,Security responded to a report that a previously trespassed non-community member was refusing to leave the library. The individual was identified and escorted out of the building.
2019-000024,1/5/2019,2:19:00 AM,WINTERS RESIDENCE,Fire Alarm,Cooking Related,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be cooking related.
2019-000026,1/5/2019,5:51:00 AM,ROSS BUILDING - SOUTH TOWER,"Mischief, Under $5000",University Property,A Security patrol discovered a fire extinguisher had been discharged without cause. The Work Control Centre was notified.
2019-000028,1/6/2019,12:21:00 AM,VANIER COLLEGE,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member in the building. The individual was identified and directed to leave campus.
2019-000031,1/6/2019,4:41:00 PM,ATKINSON COLLEGE,Fire Alarm,Malfunction,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a malfunction.
2019-000030,1/6/2019,5:20:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a winter coat left unattended on the fourth floor.
2019-000015,1/3/2019,12:18:00 PM,ROSS BUILDING - NORTH TOWER,"Disturbance, Causing",Loitering,Security responded to a report of an unknown male asleep on the ninth floor. The male was identified as a non-community member. He was directed to leave the building.
2019-000032,1/6/2019,11:21:00 PM,STONG COLLEGE,Suspicious Persons,Subject not Identified,Security responded to a report of two unknown males loitering inside a first floor classroom. Descriptions of the males were obtained.
2019-000033,1/7/2019,2:40:00 AM,CENTRAL SQUARE,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member in the courtyard. The individual was identified and escorted off campus.
2019-000035,1/7/2019,10:58:00 AM,CENTRAL SQUARE,Trespass to Property Act,Non-Community Member,Security and Toronto Police responded to a report that a previously trespassed non- community member was causing a disturbance. The individual was identified and escorted off campus.
2019-000036,1/7/2019,1:47:00 PM,VANIER COLLEGE,"Theft, Under $5000",Private Property,Complainant reported the theft of athletic shoes from a secure locker.
2019-000037,1/7/2019,3:59:00 PM,FIRST STUDENT CENTRE,Fire Alarm,Unknown Cause,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was not determined.
2019-000038,1/7/2019,6:48:00 PM,YORK LANES RETAIL,Harassment,General,Two community members reported being harassed and followed by another community member.
2019-000039,1/7/2019,8:48:00 PM,NORTH COLONNADE,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member in the Colonnade. The individual was identified and escorted off campus.
2019-000040,1/8/2019,2:14:00 AM,PARKING GARAGE - ARBORETUM LANE (PS2),Motor Vehicle Incident,Collision \No Injuries,Security responded to a report of a single vehicle collision in the parking garage. No injuries were reported.
2019-000042,1/8/2019,11:55:00 AM,VANIER COLLEGE,Emergency Medical,Existing Medical Condition,"Security, Toronto Fire and EMS responded to a report of an unresponsive male in a first floor hallway. The male, identified as a non- community member, was conscious on arrival and reported he had experienced a seizure. EMS transported the individual to hospital for further medical care."
2019-000041,1/8/2019,12:30:00 PM,FOUNDERS ROAD,Motor Vehicle Incident,Collision \No Injuries,Security responded to a report of a single vehicle collision on Founders Road. A delivery truck struck and damaged a street sign. The Work Control Centre was notified.
2019-000043,1/8/2019,1:12:00 PM,SCOTT LIBRARY,Trespass to Property Act,Non-Community Member,Security and Toronto Police responded to a report that a known non-community member refused to leave the library after closing. The male was identified and arrested by Police for an outstanding warrant.
2019-000044,1/8/2019,5:26:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended in the library.
2019-000323,1/8/2019,5:35:00 PM,MCLAUGHLIN COLLEGE,Disorderly Behaviour,Unauthorized Activities,A community member reported an unknown male acted in a belligerent manner towards him.
2019-000045,1/8/2019,11:26:00 PM,380 ASSINIBOINE ROAD RESIDENCE,Domestic Dispute,Community Member,Security and Toronto Police responded to a report of a disturbance between two individuals inside an apartment. One individual was treated on scene for a minor injury.
2019-000046,1/9/2019,5:47:00 AM,VICTOR PHILLIP DAHDALEH BUILDING,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member loitering in a second floor classroom. The individual was identified and escorted off campus.
2019-000047,1/9/2019,7:41:00 AM,CURTIS LECTURE HALLS,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member asleep in a lecture hall. The individual was identified and escorted off campus.
2019-000048,1/9/2019,8:10:00 AM,ROSS BUILDING - SOUTH TOWER,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member asleep in a second floor hallway. The individual was identified and escorted off campus.
2019-000050,1/9/2019,11:12:00 AM,ROSS BUILDING - NORTH TOWER,Trespass to Property Act,Non-Community Member,Security responded to a report of a previously trespassed non-community member asleep in a stairwell. The individual was identified and escorted off campus.
2019-000052,1/9/2019,3:12:00 PM,PARKING LOT 10 - RIDEAU ROAD,Motor Vehicle Incident,Fail to Remain,Security responded to a report that a delivery truck struck a street sign. The driver of the truck left the scene and failed to report the incident. A license plate number was obtained.
2019-000053,1/9/2019,3:51:00 PM,ROSS BUILDING - SOUTH TOWER,Disorderly Behaviour,Fighting,Security responded to a report of three individuals involved in an altercation in a first floor hallway. The involved parties were identified as community members. No injuries were reported.
2019-000051,1/9/2019,3:56:00 PM,ACCOLADE WEST,Smoking Complaint,Subject Not Identified,Security responded to a report of individuals smoking inside a stairwell.
2019-000054,1/9/2019,4:02:00 PM,BENNETT CENTRE FOR STUDENT SERVICES,Emergency Medical,Existing Medical Condition,"Security, Toronto Police and EMS responded to a report of a community member in distress. EMS transported the individual to hospital for further medical care."
2019-000055,1/9/2019,4:41:00 PM,KEELE CAMPUS,Harassment,By Email\Text Message,A community member reported receiving a harassing email message from another community member.
2019-000056,1/9/2019,6:45:00 PM,SCOTT LIBRARY,Emergency Medical,Injury,Security and EMS responded to a report of a community member with a leg injury. EMS transported the individual to hospital for further medical care.
2019-000058,1/9/2019,11:14:00 PM,LASSONDE BUILDING,"Mischief, Under $5000",University Property,Security responded to a report of a smashed pane of glass in the west entrance door. The Work Control Centre was notified.
2019-000059,1/10/2019,2:20:00 AM,VARI HALL,"Disturbance, Causing",Loitering,A Security patrol encountered a known non- community member loitering inside a classroom. The individual was identified and directed to leave campus.
2019-000061,1/10/2019,10:44:00 AM,POND ROAD\PASSY CRESENT,Motor Vehicle Incident,Collision\Injuries,"Security, Toronto Police and Toronto Fire and EMS responded to a report of a motor vehicle collision. A vehicle struck a tree at the intersection of The Pond Road and Passy Crescent. EMS transported a community member to hospital for further medical care."
2019-000062,1/10/2019,11:58:00 AM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the first floor.
2019-000063,1/10/2019,12:57:00 PM,ROSS BUILDING - SOUTH TOWER,Smoking Complaint,Subject Not Identified,Security responded to a report of unknown persons smoking in a stairwell.
2019-000066,1/10/2019,2:38:00 PM,ATKINSON COLLEGE,"Disturbance, Causing",Common Nuisance,Complainant reported a community member caused several disturbances during a class. The community member was identified.
2019-000067,1/10/2019,3:14:00 PM,VICTOR PHILLIP DAHDALEH BUILDING,Information,Health & Safety Concern,Security responded to check on the well-being of an individual who appeared to be asleep inside a computer lab. The individual was identified. No further action was required.
2019-000069,1/10/2019,4:38:00 PM,YORK LANES RETAIL,"Disturbance, Causing",Dispute,Security responded to a report of a dispute between a patron and a restaurant staff member regarding a purchase. The dispute was resolved and further action was not required.
2019-000072,1/10/2019,5:41:00 PM,VARI HALL,"Disturbance, Causing",Dispute,Security responded to a report that a community member caused a disturbance and refused to leave the office of another community member when directed.
2019-000071,1/10/2019,5:43:00 PM,CENTRE OF EXCELLENCE,Suspicious Persons,Subject not Identified,A community member reported an unknown male photographed him while inside a washroom. A description of the male was obtained.
2019-000070,1/10/2019,6:23:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the third floor.
2019-000073,1/10/2019,8:25:00 PM,CALUMET RESIDENCE,Harassment,By Email\Text Message,A community member reported ongoing harassment by another community member.
2019-000074,1/10/2019,8:57:00 PM,CALUMET COLLEGE,Fire Alarm,Unintentional Activation,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a smoke machine being used at an event."
2019-000075,1/10/2019,10:33:00 PM,CENTRAL SQUARE,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member in the building. The individual was identified and escorted off campus.
2019-000076,1/11/2019,12:29:00 AM,WINTERS COLLEGE,Disorderly Behaviour,Fighting,Security responded to a report of an altercation between a group of patrons. The involved parties dispersed on arrival. No injuries were reported.
2019-000077,1/11/2019,1:05:00 AM,380 ASSINIBOINE ROAD RESIDENCE,Noise Complaint,Source Located,Security and Toronto Police responded to a report of a disturbance inside an apartment. The leaseholder was identified and requested to lower the noise level.
2019-000078,1/11/2019,5:35:00 AM,PARKING GARAGE - YORK LANES (PS1),"Mischief, Under $5000",University Property,Security responded to a report that an individual caused damage to a parking gate arm. The individual was identified as a non-community member.
2019-000080,1/11/2019,10:05:00 AM,FIRST STUDENT CENTRE,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member in the building. The individual was identified and escorted off campus.
2019-000079,1/11/2019,10:17:00 AM,FIRST STUDENT CENTRE,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member in the building. The individual was identified and escorted off campus.
2019-000082,1/11/2019,10:35:00 AM,SCOTT LIBRARY,Hazardous Substance,Unsubstantiated,Security and University Health and Safety officials responded to a report of a natural gas odour in the building. An air quality test determined that all was in order.
2019-000084,1/11/2019,11:08:00 AM,BENNETT CENTRE FOR STUDENT SERVICES,Fire Alarm,Malfunction,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a malfunction."
2019-000086,1/11/2019,11:36:00 AM,ROSS BUILDING - SOUTH TOWER,Smoking Complaint,Subject Not Identified,Security responded to a smoking complaint regarding individuals smoking cannabis inside a stairwell.
2019-000081,1/11/2019,11:44:00 AM,SCOTT LIBRARY,Disorderly Behaviour,Belligerent Person,A community member reported an unknown male acted in a belligerent manner towards her. A description of the male was obtained.
2019-000085,1/11/2019,2:42:00 PM,COLONNADE,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member. The individual was identified and escorted off campus.
2019-000087,1/11/2019,5:03:00 PM,WEST OFFICE BUILDING,Fraud,Debit\Credit Card,Security responded to a report that a community member was defrauded of money through an email scam. Toronto Police were notified.
2019-000088,1/11/2019,5:45:00 PM,SECOND STUDENT CENTRE,Information,General Complaint\ Concern,Security responded to investigate a report of a concerning comment posted on social media by a community member. No threats were made.
2019-000089,1/11/2019,6:08:00 PM,CENTRAL SQUARE,Harassment,Criminal,Security responded to a report that an unknown male harassed and followed several community members. The suspect was identified as a community member. He was cautioned and escorted off campus.
2019-000109,1/11/2019,7:00:00 PM,WINTERS COLLEGE,Disorderly Behaviour,Belligerent Person,A community member reported a non- community member attended an office area and acted in a belligerent manner.
2019-000090,1/11/2019,8:45:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a winter coat left unattended on the fourth floor.
2019-000100,1/11/2019,9:33:00 PM,KEELE CAMPUS RESIDENCE,Harassment,By Email\Text Message,Security responded to a report that a community member was being harassed by another community member. The male was identified and cautioned.
2019-000091,1/11/2019,11:40:00 PM,PASSY RESIDENCE,Noise Complaint,Source Located,Security responded to a noise complaint. Loud music was heard emanating from within an apartment. The occupant was identified and requested to lower the music volume.
2019-000092,1/12/2019,12:40:00 AM,CURTIS LECTURE HALLS,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended in a lecture hall.
2019-000093,1/12/2019,1:53:00 AM,PASSY RESIDENCE,Noise Complaint,Source Located,Security responded to a noise complaint. Loud music was heard emanating from within an apartment. The occupant lowered the music volume.
2019-000095,1/12/2019,3:17:00 AM,NORMAN BETHUNE RESIDENCE,Emergency Medical,Sudden Illness,Security responded to a report of an intoxicated resident in need of medical care. EMS was not required and the community member was left in the care of Residence Life staff.
2019-000096,1/12/2019,10:01:00 AM,WILLIAM SMALL CENTRE,Emergency Medical,Existing Medical Condition,Security responded to assist a community member who was in distress. EMS was declined.
2019-000097,1/12/2019,11:35:00 AM,YORK LANES OFFICES,Trespass to Property Act,Non-Community Member,Security responded to a report that a previously trespassed non-community member was observed in the building. The individual was identified and escorted off campus.
2019-000099,1/12/2019,7:26:00 PM,KEELE CAMPUS RESIDENCE,Harassment,By Email\Text Message,Security and Toronto Police responded to a report that a community member was being harassed by another community member. The suspect was identified and cautioned by Police.
2019-000098,1/13/2019,12:04:00 AM,GLENDON COLLEGE - WOOD RESIDENCE,Fire (Actual),Mech\Electrical,Security and Toronto Fire responded to a report of smoke in the laundry room. The cause of the smoke was determined to be an electrical fire inside a laundry machine. No injuries were reported. Residence Life staff were notified.
2019-000101,1/13/2019,1:33:00 AM,CENTRAL SQUARE,Trespass to Property Act,Non-Community Member,Security responded to a report that a previously trespassed non-community member was observed in the building. The individual was identified and escorted off campus.
2019-000102,1/13/2019,3:17:00 AM,WILLIAM SMALL CENTRE,Fire Alarm,Malfunction,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a malfunction.
2019-000103,1/13/2019,5:29:00 AM,WILLIAM SMALL CENTRE,Fire Alarm,Malfunction,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a malfunction.
2019-000104,1/13/2019,8:22:00 PM,90 ATKINSON ROAD RESIDENCE,Emergency Medical,Existing Medical Condition,"Security, Toronto Police and EMS responded to a report of a community member in distress. EMS transported the individual to hospital for further medical care."
2019-000105,1/13/2019,9:31:00 PM,WINTERS RESIDENCE,Fire Alarm,Cooking Related,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be cooking related.
2019-000106,1/13/2019,9:57:00 PM,KEELE CAMPUS RESIDENCE,Mental Health Act,Community Member,"Security, Residence Life staff, Toronto Police and EMS responded to a report of a community member in distress. The individual was taken into custody by Police and transported to hospital for further medical care."
2019-000108,1/13/2019,10:57:00 PM,IAN MAC BLVD and NORTH WEST GATE,Motor Vehicle Incident,Collision \No Injuries,Security responded to a report of a motor vehicle collision at the intersection of Ian MacDonald Boulevard and Northwest Gate. No injuries were reported.
2019-000107,1/13/2019,11:07:00 PM,ACCOLADE EAST,"Mischief, Under $5000",University Property,Security responded to a report of graffiti and damaged drywall inside a basement level classroom. The Work Control Centre was notified.
2019-000110,1/14/2019,1:54:00 AM,380 ASSINIBOINE ROAD RESIDENCE,Domestic Dispute,Community Member,Security and Toronto Police responded to a report of a disturbance inside an apartment. Two community members were involved in a domestic dispute. They were directed to separate for the remainder of the night. No injuries were reported.
2019-000112,1/14/2019,9:09:00 AM,ACCOLADE EAST,"Disturbance, Causing",Loitering,Security responded to a report that an unknown male was loitering inside a second floor mechanical room. A description of the male was obtained.
2019-000111,1/14/2019,9:16:00 AM,WINTERS COLLEGE,Disorderly Behaviour,Belligerent Person,Complainant reported a known non-community member attended an office area and acted in a belligerent manner towards the occupants.
2019-000115,1/14/2019,9:21:00 AM,SCHULICH SCHOOL OF BUSINESS,"Theft, Under $5000",Private Property,Complainant reported the theft of a handbag left unattended in a basement level classroom.
2019-000114,1/14/2019,10:34:00 AM,FIRST STUDENT CENTRE,"Theft, Under $5000",Private Property,Complainant reported the theft of a cellular phone left unattended in a secure office.
2019-000116,1/14/2019,12:00:00 PM,CENTRAL SQUARE,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member in the courtyard. The individual was identified and escorted off campus
2019-000117,1/14/2019,3:36:00 PM,TAIT MCKENZIE BLDG,Emergency Medical,Injury,Security responded to a report that a community member sustained an injury while swimming. Medical care was declined.
2019-000119,1/14/2019,5:57:00 PM,CURTIS LECTURE HALLS,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member in the building. The individual was identified and escorted off campus.
2019-000120,1/14/2019,6:12:00 PM,YORK LANES RETAIL,"Theft, Under $5000",Private Property,Complainant reported the theft of a backpack left unattended in a restaurant. The suspect was identified as a non-community member and was arrested by Police a short time later.
2019-000121,1/14/2019,6:34:00 PM,SCOTT LIBRARY,Suspicious Persons,Subject Identified,Security responded to a report that an unknown male was observed acting in a suspicious manner. The male was identified as a former community member and was cautioned.
2019-000123,1/14/2019,11:21:00 PM,FINE ARTS ROAD,"Theft, Under $5000",Private Property,A community member reported damage to their parked vehicle and the theft of a bank debit card. A description of a suspect was obtained. Toronto Police services was declined.
2019-000126,1/15/2019,1:15:00 AM,FOUNDERS COLLEGE,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member in the building. The individual was identified and escorted off campus.
2019-000125,1/15/2019,1:27:00 AM,FOUNDERS COLLEGE,"Disturbance, Causing",Loitering,Security responded to a report of an individual loitering in the lounge. The male failed to provide identification and was escorted off campus.
2019-000127,1/15/2019,7:27:00 AM,CURTIS LECTURE HALLS,"Disturbance, Causing",Loitering,A Security patrol encountered a non-community member asleep in a lecture hall. The individual was identified and directed to leave campus.
2019-000132,1/15/2019,10:57:00 AM,ACCOLADE WEST,"Mischief, Under $5000",University Property,"A Security patrol discovered damaged light fixtures, furniture and garbage debris in a basement level hallway. The Work Control Centre was notified."
2019-000128,1/15/2019,11:19:00 AM,ACCOLADE WEST,Smoking Complaint,Subject Not Identified,Security responded to a report of individuals smoking inside a basement level lounge. A non-community member was escorted off campus.
2019-000129,1/15/2019,11:56:00 AM,ACCOLADE EAST,Emergency Medical,Sudden Illness,"Security responded to a report that a community member fainted. On arrival, the community member was conscious and coherent. Medical care was declined."
2019-000130,1/15/2019,12:53:00 PM,WILLIAM SMALL CENTRE,Fire Alarm,Smoking Prohibited Area,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be individuals smoking in the building.
2019-000131,1/15/2019,1:09:00 PM,CENTRAL SQUARE,"Disturbance, Causing",Panhandling,"A non-community member was observed panhandling in the building. The individual was identified, cautioned and escorted off campus"
2019-000133,1/15/2019,4:08:00 PM,MCLAUGHLIN COLLEGE,Smoking Complaint,Caution Issued,A community member was identified and cautioned for smoking inside the building.
2019-000134,1/15/2019,6:41:00 PM,KEELE CAMPUS,Hate Incident,Non- Threatening,A community member reported another community member posted several hate based messages on social media.
2019-000135,1/15/2019,6:47:00 PM,TORONTO TRACK and FIELD CENTRE,Emergency Medical,Injury,Security and EMS responded to a report that a visitor sustained a laceration while participating in a track event. EMS transported the individual to hospital for further medical care.
2019-000136,1/15/2019,10:00:00 PM,MCLAUGHLIN COLLEGE,Suspicious Persons,Subject Identified,Security responded to a report of an individual tampering with a parked vehicle. The individual was identified as the vehicle owner who had locked their keys inside. A tow truck was contacted to assist the community member.
2019-000137,1/15/2019,10:44:00 PM,VANIER COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered damage to furnishing and fixtures inside a first floor lecture hall. The Work Control Centre was notified.
2019-000138,1/16/2019,12:53:00 AM,KEELE CAMPUS RESIDENCE,Emergency Medical,Existing Medical Condition,Security and Toronto Police responded to a report of a community member in distress. The community member was transported to hospital for further medical care.
2019-000139,1/16/2019,9:58:00 AM,CENTRAL SQUARE,Emergency Medical,Sudden Illness,"Security and EMS responded to a report of an individual experiencing chest pain. EMS transported the individual, identified as a non- community member, to hospital for further medical care."
2019-000140,1/16/2019,10:36:00 AM,VICTOR PHILLIP DAHDALEH BUILDING,Information,General Complaint- Concern,A community member reported a previously trespassed non-community member tampered with classroom furnishings and equipment. A description of the individual was obtained.
2019-000141,1/16/2019,11:09:00 AM,ATKINSON COLLEGE,Information,General Complaint- Concern,Complainant reported office furnishings and equipment had been tampered with by unknown persons.
2019-000143,1/16/2019,12:11:00 PM,SCOTT LIBRARY,Emergency Medical,Sudden Illness,Security and EMS responded to a report of a community member experiencing symptoms of an anxiety attack. EMS transported the individual to hospital for further medical care.
2019-000145,1/16/2019,4:13:00 PM,CURTIS LECTURE HALLS,Suspicious Persons,Subject not Identified,Complainant reported an unknown male acting in a suspicious manner. A description of the male was obtained.
2019-000147,1/16/2019,4:58:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the fifth floor.
2019-000148,1/16/2019,11:58:00 PM,90 ATKINSON ROAD RESIDENCE,Noise Complaint,Source Located,Security responded to a noise complaint. Loud music was heard emanating from within an apartment. The leaseholder was identified and requested to lower the music volume.
2019-000150,1/17/2019,10:40:00 AM,PARKING GARAGE - YORK LANES (PS1),Motor Vehicle Incident,Collision \No Injuries,Security responded to a report that a delivery truck struck a parking gate arm. A licence plate number was obtained.
2019-000149,1/17/2019,11:06:00 AM,PARKING LOT - SENTINEL ROAD,"Mischief, Under $5000",Private Property,Complainant reported their vehicle was damaged while parked in the lot. The driver side mirror was struck and damaged.
2019-000152,1/17/2019,12:15:00 PM,GLENDON COLLEGE - YORK HALL,"Mischief, Under $5000",University Property,Complainant reported an unknown male gained access to the cafeteria through an unlocked door. A description of the suspect was obtained.
2019-000151,1/17/2019,12:38:00 PM,CENTRAL SQUARE,"Disturbance, Causing",Dispute,Security responded to a report of a dispute at the Canadian Blood Services clinic. Two community members were identified and cautioned after they caused a disturbance when requested to leave the clinic.
2019-000153,1/17/2019,1:00:00 PM,KEELE CAMPUS,Harassment,Sexual,A community member reported ongoing harassment of a sexual nature by another community member.
2019-000154,1/17/2019,2:43:00 PM,VANIER COLLEGE,Smoking Complaint,Caution Issued,A Security patrol identified and cautioned four community members found smoking inside the building.
2019-000156,1/17/2019,3:34:00 PM,GOLDFARB CENTRE FOR FINE ARTS,Smoking Complaint,Caution Issued,A Security patrol identified and cautioned two community members found smoking inside the building.
2019-000158,1/17/2019,4:06:00 PM,COLONNADE,Emergency Medical,Sudden Illness,Security and EMS responded to a report of a community member experiencing a seizure. EMS transported the individual to hospital for further medical care.
2019-000164,1/17/2019,4:27:00 PM,GLENDON COLLEGE - HILLIARD RESIDENCE,Information,Health & Safety Concern,Security and Residence Life staff responded to check on the well-being of a community member.
2019-000159,1/17/2019,4:29:00 PM,WILLIAM SMALL CENTRE,Harassment,By Telephone,Complainant reported ongoing harassment by another community member.
2019-000162,1/17/2019,9:24:00 PM,YORK LANES RETAIL,"Disturbance, Causing",Common Nuisance,Security responded to a report that an unknown male was causing a disturbance inside a licenced establishment. The individual was identified as a non-community and left campus without incident.
2019-000163,1/17/2019,10:31:00 PM,IAN MACDONALD BLVD,Fire (Actual),Unintentional,Security and York Fire Prevention responded to a report of a fire in a garbage container located at the intersection of Ian MacDonald Blvd and York Blvd. The fire was extinguished without incident.
2019-000165,1/17/2019,10:57:00 PM,MCLAUGHLIN COLLEGE,"Mischief, Under $5000",University Property,Security responded to a report that a fire extinguisher had been discharged without cause on the first floor. The Work Control Centre was notified.
2019-000166,1/18/2019,7:31:00 AM,NORMAN BETHUNE RESIDENCE,Emergency Medical,Sudden Illness,Security and EMS responded to a report of a community member experiencing dizziness. EMS assessed the individual on scene. Further medical care was declined.
2019-000167,1/18/2019,8:20:00 AM,CURTIS LECTURE HALLS,"Disturbance, Causing",Loitering,A Security patrol encountered a non-community member asleep inside a third floor classroom. The individual was identified and directed to leave campus.
2019-000168,1/18/2019,8:22:00 AM,VARI HALL,"Disturbance, Causing",Loitering,A Security patrol encountered a non-community member asleep inside a third floor classroom. The individual was identified and directed to leave campus.
2019-000169,1/18/2019,8:45:00 AM,VICTOR PHILLIP DAHDALEH BUILDING,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member in the building. The individual was identified and escorted off campus.
2019-000170,1/18/2019,9:38:00 AM,MCLAUGHLIN COLLEGE,Trespass to Property Act,Non-Community Member,Security and Toronto Police responded to a report that a previously trespassed non- community member was observed in the building. A search of the building and surrounding vicinity was conducted with negative results.
2019-000171,1/18/2019,10:23:00 AM,COLONNADE,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member. The individual was identified and escorted off campus.
